"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"The Jerk","(1979)","7.2","Comedy",NA,"Steve Martin,Bernadette Peters,Catlin Adams,Mabel King,Richard Ward","
        
            A simpleminded, sheltered country boy suddenly decides to leave his family home to experience life in the big city, where his naivete is both his best friend and his worst enemy.
    ","(55,976)","Carl Reiner","
1 nomination.
            ","
                    $5,935,025, 16 Dec 1979
            ",NA,NA,"
                            94 min
                        "
"Grease","(1978)","7.2","Comedy","Musical","John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Barry Pearl","
        
            Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?
    ","(256,737)","Randal Kleiser","
Nominated for 1 Oscar. Another 4 wins & 9 nominations.
            ","
                    $6,000,000 (estimated)
            ","
                    $60,759, 11 Jul 2010
            ","
                    $394,955,690
            ","
                            110 min
                        "
"The Driver","(1978)","7.2","Action","Crime","Ryan O'Neal,Bruce Dern,Isabelle Adjani,Ronee Blakley,Matt Clark","
        
            A getaway driver becomes the latest assignment for a tenacious detective.
    ","(15,650)","Walter Hill",NA,"
                    $4,000,000 (estimated)
            ","
                    $654,860
            ",NA,"
                            91 min
                        "
"Big Wednesday","(1978)","7.2","Drama","Sport","Jan-Michael Vincent,William Katt,Gary Busey,Patti D'Arbanville,Lee Purcell","
        
            The lives of some California surfers from the early 1960s to the 1970s.
    ","(6,495)","John Milius","
2 nominations.
            ","
                    $11,000,000 (estimated)
            ",NA,NA,"
                            120 min
                        "
"The Pink Panther Strikes Again","(1976)","7.2","Comedy","Crime","Peter Sellers,Herbert Lom,Lesley-Anne Down,Burt Kwouk,Colin Blakely","
        
            Charles Dreyfus (Herbert Lom), who has finally cracked over Inspector Jacques Clouseau's (Peter Sellers') antics, escapes from a mental institution and launches an elaborate plan to get rid of Clouseau once and for all.
    ","(29,216)","Blake Edwards","
Nominated for 1 Oscar. Another 2 wins & 2 nominations.
            ","
                    $6,000,000 (estimated)
            ",NA,NA,"
                            103 min
                        "
"Crime Busters","(1977)","7.2","Action","Comedy","Terence Hill,Bud Spencer,David Huddleston,Luciano Catenacci,Ezio Marano","
        
            An attempted robbery turns to be an unexpected recruitment when two unemployed men mistakenly break into a police office instead of a store.
    ","(11,212)","Enzo Barboni","
1 win.
            ",NA,NA,NA,"
                            115 min
                        "
"The Yakuza","(1974)","7.2","Action","Crime","Robert Mitchum,Ken Takakura,Brian Keith,Herb Edelman,Richard Jordan","
        
            American private-eye Harry Kilmer returns to Japan to rescue a friend's kidnapped daughter from the clutches of the Yakuza.
    ","(8,535)","Sydney Pollack",NA,"
                    $5,000,000 (estimated)
            ",NA,NA,"
                            112 min
                        "
"Female Trouble","(1974)","7.2","Comedy","Crime","Divine,David Lochary,Mary Vivian Pearce,Mink Stole,Edith Massey","
        
            A spoiled schoolgirl runs away from home, gets pregnant while hitch-hiking, and ends up as a fashion model for a pair of beauticians who like to photograph women committing crimes.
    ","(8,993)","John Waters",NA,"
                    $25,000 (estimated)
            ",NA,NA,"
                            89 min
                        "
"California Split","(1974)","7.2","Comedy","Drama","George Segal,Elliott Gould,Ann Prentiss,Gwen Welles,Edward Walsh","
        
            When a casual gambler befriends a professional one, he begins to mirror his life, sending both deeper into the sleazy gambling world where the stakes keep getting bigger.
    ","(6,641)","Robert Altman","
1 nomination.
            ",NA,NA,NA,"
                            108 min
                        "
"Black Christmas","(1974)","7.2","Horror","Mystery","Olivia Hussey,Keir Dullea,Margot Kidder,John Saxon,Marian Waldman","
        
            During their Christmas break, a group of sorority girls are stalked by a stranger.
    ","(37,960)","Bob Clark","
3 wins & 2 nominations.
            ","
                    $620,000 (estimated)
            ",NA,NA,"
                            98 min
                        "
"Theatre of Blood","(1973)","7.2","Comedy","Drama","Vincent Price,Diana Rigg,Ian Hendry,Harry Andrews,Coral Browne","
        
            A Shakespearean actor takes poetic revenge on the critics who denied him recognition.
    ","(10,593)","Douglas Hickox","
2 nominations.
            ",NA,NA,NA,"
                            104 min
                        "
"Mean Streets","(1973)","7.2","Crime","Drama","Robert De Niro,Harvey Keitel,David Proval,Amy Robinson,Richard Romanus","
        
            A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.
    ","(105,740)","Martin Scorsese","
5 wins & 5 nominations.
            ","
                    $500,000 (estimated)
            ","
                    $32,645, 15 Mar 1998
            ",NA,"
                            112 min
                        "
"Magnum Force","(1973)","7.2","Action","Crime","Clint Eastwood,Hal Holbrook,Mitchell Ryan,David Soul,Tim Matheson","
        
            San Francisco Inspector ""Dirty"" Harry Callahan is on the trail of vigilante Police Officers who are not above going beyond the law to kill the city's undesirables.
    ","(59,601)","Ted Post","
2 nominations.
            ","
                    $6,871,011, 30 Dec 1973
            ",NA,NA,"
                            124 min
                        "
"Don't Look Now","(1973)","7.2","Drama","Horror","Julie Christie,Donald Sutherland,Hilary Mason,Clelia Matania,Massimo Serato","
        
            A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.
    ","(53,759)","Nicolas Roeg","
Won 1 BAFTA Film Award. Another 9 nominations.
            ","
                    $1,500,000 (estimated)
            ",NA,NA,"
                            110 min
                        "
"Brother Sun, Sister Moon","(1972)","7.2","Biography","Drama","Graham Faulkner,Judi Bowker,Leigh Lawson,Kenneth Cranham,Lee Montague","
        
            Dramatization of events in the life of St. Francis of Assisi from before his conversion experience through his audience with the pope, including his friendship with St. Clare.
    ","(4,425)","Franco Zeffirelli","
Nominated for 1 Oscar. Another 3 wins & 1 nomination.
            ","
                    $3,000,000 (estimated)
            ",NA,NA,"
                            135 min
                        "
"Vanishing Point","(1971)","7.2","Action","Crime","Barry Newman,Cleavon Little,Charlotte Rampling,Dean Jagger,Victoria Medlin","
        
            During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops.
    ","(28,055)","Richard C. Sarafian",NA,"
                    $1,585,000 (estimated)
            ","
                    $12,614,425
            ",NA,"
                            99 min
                        "
"Nicholas and Alexandra","(1971)","7.2","Biography","Drama","Michael Jayston,Janet Suzman,Roderic Noble,Ania Marson,Lynne Frederick","
        
            Tsar Nicholas II, the inept last monarch of Russia, insensitive to the needs of his people, is overthrown and exiled to Siberia with his family.
    ","(4,757)","Franklin J. Schaffner","
Won 2 Oscars. Another 1 win & 11 nominations.
            ","
                    $9,000,000 (estimated)
            ",NA,NA,"
                            183 min
                        "
"Klute","(1971)","7.2","Crime","Mystery","Jane Fonda,Donald Sutherland,Charles Cioffi,Roy Scheider,Dorothy Tristan","
        
            A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.
    ","(24,840)","Alan J. Pakula","
Won 1 Oscar. Another 8 wins & 5 nominations.
            ","
                    $2,500,000 (estimated)
            ",NA,NA,"
                            114 min
                        "
